sc	rl	cl	kl	rh	ch	kh
1678	52.22	181.72	393.48	9	6	9
1679	66.86	224.64	66.86	16	6	2
1680	69.08	138.08	92.48	15	8	3
1681	50.0	108.9	156.0	16	4	4
1682	66.27	84.99	66.95	13	3	3
1683	45.05	273.87	45.05	13	8	2
1684	33.33	264.69	222.31	7	7	6
1685	43.02	267.36	43.02	8	7	2
1686	58.84	227.5	364.54	15	6	8
1687	43.69	82.67	51.57	11	5	3
1688	55.59	138.81	76.17	15	3	3
1689	50.19	179.89	96.13	11	6	3
1690	71.28	345.86	91.04	13	8	3
1691	54.26	275.22	108.54	10	8	3
1692	37.05	50.73	303.53	9	3	9
1693	36.61	233.69	121.33	12	7	5
1694	16.6	189.3	69.82	8	6	3
1695	62.81	292.71	97.09	12	6	4
1696	65.91	261.53	75.91	15	5	3
1697	34.74	209.82	94.8	8	6	3
1698	34.68	303.26	934.64	10	7	23
1699	64.66	312.46	168.92	16	8	4
1700	49.33	170.63	72.73	10	5	3
1701	48.87	263.45	95.57	11	7	3
1702	57.53	100.67	80.93	13	4	3
1703	33.97	285.93	45.23	10	6	3
1704	57.42	263.14	142.12	13	6	4
1705	40.08	105.64	166.86	8	4	4
1706	42.75	182.17	229.69	13	5	6
1707	49.28	234.78	73.1	15	6	3
1708	37.0	297.06	114.82	8	7	4
1709	46.01	183.31	137.11	11	4	4
1710	35.6	172.12	45.0	8	6	3
1711	55.72	167.84	61.18	16	4	3
1712	55.75	112.01	181.31	12	4	5
1713	70.88	185.28	118.48	15	5	4
1714	65.41	366.65	151.15	14	7	5
1715	42.28	273.76	96.56	10	7	3
1716	63.67	335.61	280.61	15	7	6
1717	54.74	284.54	63.44	17	7	3
1718	56.48	138.0	98.86	15	4	3
1719	17.26	280.94	116.18	10	7	3
