sc	rl	cl	kl	rh	ch	kh
667	40.83	165.89	309.85	12	4	7
668	26.88	336.44	218.38	11	8	5
669	66.74	409.52	66.74	15	8	3
670	64.07	325.57	64.07	14	8	2
671	51.72	76.42	77.7	11	3	4
672	52.6	286.24	742.72	12	6	22
673	48.2	237.8	156.56	12	5	5
674	23.52	62.06	486.38	10	3	11
675	60.48	192.82	286.94	10	7	8
676	59.72	211.16	245.02	13	5	6
677	29.37	172.97	196.61	10	5	6
678	55.91	195.45	128.85	11	7	4
679	54.71	142.17	604.91	13	6	13
680	56.48	250.88	388.42	15	6	7
681	60.62	337.68	138.82	15	6	4
682	53.21	138.03	401.87	13	6	11
683	46.37	256.53	57.55	14	7	3
684	11.6	62.04	248.26	5	4	6
685	48.55	99.89	158.07	12	4	6
686	38.28	273.62	55.7	13	7	3
687	60.12	192.74	63.24	12	7	3
688	55.1	284.74	67.98	11	7	3
689	33.04	251.58	444.92	12	7	13
690	44.32	168.36	262.02	13	5	8
691	21.92	161.0	695.04	9	6	16
692	64.6	263.86	68.82	13	7	3
693	2.15	157.57	126.87	6	6	5
694	38.71	179.85	455.41	10	6	12
695	62.29	188.07	107.21	13	4	5
696	49.55	190.81	587.45	11	7	17
697	59.68	248.1	59.68	12	7	2
698	16.71	351.73	289.17	11	7	6
699	45.9	295.06	260.16	9	7	6
700	31.34	106.44	153.26	8	4	4
701	68.37	162.11	335.93	14	3	8
702	58.24	203.88	72.08	12	6	3
703	62.38	161.92	116.76	18	4	3
704	13.22	224.56	203.52	9	5	5
705	34.07	276.13	220.89	11	6	5
706	43.74	294.84	43.74	7	7	2
707	68.2	205.5	93.76	16	5	4
708	57.24	321.28	547.9	12	8	12
709	68.15	196.83	220.73	13	6	5
710	55.04	98.84	618.14	14	4	19
711	40.7	109.22	215.52	13	5	5
712	69.28	219.1	92.96	16	8	4
713	43.4	237.66	188.52	14	7	4
714	48.23	178.49	280.51	13	6	7
715	28.21	226.77	201.81	6	6	5
716	53.45	260.69	169.45	13	7	5
717	33.93	297.35	86.23	6	9	4
718	51.52	288.16	51.52	13	7	2
719	33.44	232.98	100.5	14	7	3
720	24.16	220.92	91.9	9	7	3
721	36.04	208.28	222.12	10	5	7
722	40.92	85.48	40.92	9	3	2
723	64.38	99.6	67.9	15	3	3
724	39.72	151.84	417.62	10	5	13
725	53.39	321.39	53.39	12	8	2
726	28.1	332.12	28.1	9	7	2
727	41.83	280.59	454.71	10	7	13
728	79.91	374.03	79.91	16	7	2
729	11.01	136.67	236.83	6	4	6
730	12.9	187.18	314.04	6	6	7
731	19.49	193.97	88.35	7	6	3
732	51.16	224.24	176.14	14	6	7
733	68.88	151.7	68.88	16	4	2
734	59.06	120.36	116.08	12	5	3
735	33.33	145.51	1026.45	9	4	26
736	14.4	354.52	382.32	9	9	11
737	43.42	110.12	43.42	12	3	2
738	47.15	397.97	60.15	10	8	3
739	25.28	281.48	393.24	5	6	12
740	36.15	246.27	510.57	9	7	15
741	45.09	367.15	115.65	12	8	4
742	34.3	258.96	119.1	9	6	5
743	49.75	152.13	62.75	11	6	3
744	40.89	119.49	40.89	11	5	2
745	18.53	234.43	103.67	9	6	3
746	69.3	246.0	102.74	11	7	3
747	59.36	119.62	376.94	13	4	8
748	25.98	202.46	216.88	11	5	5
749	56.19	217.79	438.27	17	6	13
750	64.62	243.9	237.22	18	7	6
751	58.41	162.89	329.21	11	5	10
752	32.84	158.18	32.84	9	5	2
753	57.39	210.39	70.39	9	6	3
754	74.51	169.95	601.13	17	4	15
755	57.6	266.56	174.54	13	7	5
756	59.39	239.59	81.63	13	6	4
757	59.8	108.36	81.6	13	5	4
758	40.65	133.99	234.29	12	5	6
759	59.73	124.85	704.11	15	5	22
760	66.14	181.74	327.4	15	5	8
761	19.04	120.88	109.74	11	3	4
762	44.14	167.46	112.5	10	6	4
763	69.76	252.42	82.76	14	6	3
764	48.53	134.27	66.87	13	4	3
765	51.2	97.84	327.64	10	5	7
766	32.94	176.66	81.9	11	6	3
767	52.72	53.82	545.82	12	3	15
768	6.82	202.82	325.36	6	6	8
769	42.15	218.29	109.21	11	6	3
770	63.4	251.1	63.4	13	7	2
771	61.76	166.38	74.06	13	5	3
772	66.26	277.32	80.1	15	6	3
773	62.53	62.53	62.53	13	2	2
774	67.06	304.52	298.36	16	6	6
775	52.66	176.02	124.42	11	7	3
776	25.42	293.54	25.42	12	8	2
777	12.22	168.48	12.22	9	4	2
778	43.19	98.39	942.17	11	4	23
