cycle	rlat	clat	klat	rhop	chop	khop	hopcat	latcat
1391	27.17	27.17	27.17	4	3	2	2	2
1392	9.32	9.32	9.32	3	2	2	2	1
1393	24.61	24.61	24.61	5	2	2	3	2
1394	29.69	29.69	29.69	6	2	2	2	2
1395	27.67	56.67	27.67	3	3	2	3	2
1396	32.29	32.29	32.29	5	2	2	3	2
1397	35.84	35.84	35.84	6	3	2	3	3
1398	3.56	3.56	3.56	2	2	2	2	1
1399	14.5	55.42	14.5	3	4	2	2	1
1400	11.74	20.04	11.74	2	3	2	3	1
1401	50.89	50.89	50.89	7	2	2	1	3
1402	26.14	26.14	26.14	5	2	2	1	2
1403	23.23	78.57	23.23	5	3	2	2	2
1404	50.89	50.89	50.89	7	3	2	1	3
1405	22.09	22.09	22.09	3	2	2	1	2
1406	54.84	109.08	54.84	6	4	2	2	3
1407	18.06	69.14	18.06	4	4	2	3	2
1408	27.12	68.04	27.12	4	4	2	1	2
1409	21.06	48.88	21.06	4	3	2	2	2
1410	20.97	38.41	20.97	4	3	2	3	2
